Species	Brain	Body	Loc
Allenopithecus_nigroviridis	58.02	4655	NT
Cercocebus_torquatus_atys	94.68	8600	T
Cercocebus_torquatus	105.99	7485	T
Cercopithecus_ascanius	59.58	3714	T
Cercopithecus_cephus	65.26	3585	T
Cercopithecus_petaurista	55.08	3609	T
Cercopithecus_diana	62.61	4550	T
Cercopithecus_lhoesti	74.2	4710	T
Cercopithecus_albogularis	70.1	5620	T
Cercopithecus_mitis	71.33	6109	T
Cercopithecus_nictitans	71.13	5465	T
Cercopithecus_campbelli	57.39	3600	T
Cercopithecus_campbelli_lowei	55.64	3187	T
Cercopithecus_mona	61.84	3719	T
Cercopithecus_pogonias	59.56	3580	T
Cercopithecus_neglectus	65.97	5450	T
Cercopithecus_wolfi	61.45	3390	T
Chlorocebus_aethiops	65	3720	T
Chlorocebus_pygerythrus	62.58	4324	T
Chlorocebus_sabaeus	64.91	4312	T
Erythrocebus_patas	97.73	9450	T
Lophocebus_albigena	93.97	6950	T
Lophocebus_aterrimus	101.59	6800	T
Macaca_arctoides	100.7	10300	T
Macaca_fascicularis	63.98	4251	T
Macaca_mulatta	88.98	6793	T
Macaca_leonina	85.6	5642	T
Macaca_nemestrina	105.59	8821	T
Macaca_nigra	94.9	7680	T
Macaca_radiata	74.87	5084	T
Macaca_sylvanus	93.2	12078	T
Mandrillus_sphinx	153.88	23600	T
Miopithecus_talapoin	37.35	1750	T
Papio_anubis	167.42	18150	T
Papio_cynocephalus	163.19	17150	T
Papio_hamadryas	146.17	14150	T
Papio_ursinus	178	22300	T
Theropithecus_gelada	133.33	15350	T
Colobus_angolensis	77.7	8625	NT
Colobus_guereza	74.39	8589	NT
Colobus_polykomos	73.83	9100	NT
Colobus_vellerosus	73.07	7820	NT
Colobus_satanas	74.9	8910	NT
Nasalis_larvatus	92.3	14561	NT
Piliocolobus_badius	63.59	8285	NT
Piliocolobus_kirkii	57.25	5630	NT
Presbytis_melalophos	64.85	6560	T
Procolobus_verus	52.6	4450	NT
Pygathrix_nemaeus	85.86	9720	T
Semnopithecus_entellus	83.07	8562	T
Trachypithecus_cristatus	57.86	6394	T
Trachypithecus_obscurus	62.12	7056	T
Trachypithecus_phayrei	72.84	7475	T
Trachypithecus_vetulus	61.29	6237	T
Bunopithecus_hoolock	110.68	6728	NT
Hylobates_agilis	91.16	5850	NT
Hylobates_klossii	87.99	5795	NT
Hylobates_lar	101.87	5595	NT
Hylobates_muelleri	85.13	5821	NT
Hylobates_pileatus	84.69	5470	NT
Nomascus_gabriellae	119.38	7365	NT
Symphalangus_syndactylus	123.5	11295	NT
Gorilla_beringei	491.27	130000	T
Gorilla_gorilla_gorilla	490.41	120950	T
Pan_paniscus	341.29	39100	T
Pan_troglodytes_troglodytes	368.35	44967	T
Homo_sapiens	1302.008	59661.6	T
Pongo_abelii	389.5	62815	NT
Pongo_pygmaeus	377.38	58542	NT
Aotus_lemurinus	16.3	734	NT
Aotus_trivirgatus	16.85	989	NT
Aotus_azarai	20.67	1205	NT
Alouatta_caraya	52.63	5383	NT
Alouatta_palliata	49.88	6250	NT
Alouatta_pigra	51.13	8915	NT
Alouatta_belzebul	52.84	6395	NT
