Species	C1	C2	C3	C6	C7	C11
Alouatta_palliata	1.571307567	1.260586714	1.323793196	0.68477987	0.821701088	0.68348751
Ateles_paniscus	1.710893073	1.274277299	1.19802479	0.753466087	0.7682497	0.674291463
Australopithecus_afarensis	1.579811033	1.33111979	0.965212629	0.873334179	0.856461359	0.671156536
Australopithecus_africanus	1.441019872	1.255337796	1.035534654	0.816525026	0.905398499	0.722096962
Australopithecus_sediba	1.483370426	1.306994558	1.051562798	0.834617572	0.729157294	0.8067615
Cercopithecus_mitis	1.66302409	1.345339927	1.181050636	0.703005798	0.862240356	0.629530478
Chlorocebus_aethiops	1.603298317	1.341381091	1.158769512	0.758012621	0.881551168	0.604966772
Erythrocebus_patas	1.658599063	1.410001452	1.190375881	0.667523155	0.891600033	0.60959408
Gorilla_beringei	1.51136833	1.480952937	0.952215186	0.781210216	0.957910189	0.632139404
Gorilla_gorilla_gorilla	1.497952824	1.489993794	0.957741886	0.81397723	0.93752256	0.621051822
Gorilla_gorilla_graueri	1.521024056	1.495844402	0.916423728	0.877441334	0.924721308	0.594844794
Homo_sapiens	1.499369579	1.275169335	0.975831983	0.808183283	0.852521994	0.789229097
Homo_sapiens_neanderthalensis	1.499387516	1.358268691	1.089890925	0.755993705	0.900892499	0.661494492
Hylobates_lar	1.863598255	1.476602164	1.160948154	0.629995346	0.874474219	0.574863011
Lagothrix_lagotricha	1.588909028	1.204857079	1.098347137	0.797432225	0.863758197	0.692729991
Macaca_fascicularis	1.638697666	1.332635943	1.107795503	0.731903587	0.898072293	0.637270289
Macaca_mulatta	1.631380086	1.384377402	1.185437003	0.729817684	0.863865277	0.596808603
Pan_paniscus	1.653619441	1.283572485	1.035443285	0.801246666	0.964394872	0.594340961
Pan_troglodytes_schweinfurthii	1.615687276	1.388870291	1.046878062	0.770568409	0.964656739	0.577853391
Pan_troglodytes_troglodytes	1.604216829	1.409021355	1.027132148	0.786322976	0.954233659	0.580863178
Pan_troglodytes_verus	1.601639808	1.375906944	0.985704567	0.796077972	0.954443378	0.611692545
Papio_anubis	1.674544964	1.387017663	1.163582476	0.717750794	0.866050691	0.597327642
Pongo_abelii	1.776801191	1.499498136	1.064411003	0.733367589	0.883933176	0.552594684
Pongo_pygmaeus	1.742881999	1.466542582	1.134445745	0.699229919	0.902615458	0.558121787
Presbytis_comata	1.637292074	1.242616982	1.175145986	0.71052589	0.849785553	0.697255529
Proconsul_africanus	1.796990453	1.337193705	1.062188689	0.733346711	0.889037382	0.600936888
Proconsul_heseloni	1.837849754	1.348903231	1.05477818	0.75176242	0.899735076	0.56864551
Sivapithecus_indicus	1.64419877	1.548937254	0.960866161	0.78384476	0.893358	0.583570549
Symphalangus_syndactylus	1.874894827	1.419970182	1.135556976	0.608837177	0.909129708	0.600478528
Theropithecus_gelada	1.690711017	1.342273443	1.171227362	0.721605733	0.859836267	0.60789506
Afropithecus	1.702690119	1.529362383	1.111336665	0.703506696	0.764681191	0.642332201
Rudapithecus	1.832330842	1.458161181	1.03887106	0.719726349	0.881499702	0.567857486
