Species	H1	H1a	H2	H2a	H3	H6	H7
Alouatta_palliata	1.228550266	1.165813389	0.946389723	0.775047268	1.042081795	0.761385508	1.216249768
Ateles_paniscus	1.426026062	1.304551018	0.845734904	0.742153474	1.029143284	0.668291711	1.266508478
Cercopithecus_mitis	1.28188934	1.260527424	1.122182148	0.843570594	1.1099304	0.65932981	0.910149782
Chlorocebus_aethiops	1.310630259	1.291996468	1.037507196	0.828887559	0.897668012	0.720388251	1.071231886
Erythrocebus_patas	1.27044448	1.316027089	1.038407077	0.799244181	0.960184432	0.730092485	1.038417246
Gorilla_beringei	1.350916064	1.066922874	1.296715689	0.835156776	0.945367956	0.708095448	0.970378594
Gorilla_gorilla_gorilla	1.449343702	1.022693761	1.30508069	0.77393289	0.969221078	0.726109151	0.966509726
Gorilla_gorilla_graueri	1.359187412	0.96467908	1.357541095	0.868143836	0.990547542	0.667430304	0.989634876
Homo_sapiens	1.251046782	1.192748596	1.303753993	0.790563468	0.908838507	0.717508001	1.009097713
Hylobates_lar	1.87439044	1.50471402	1.07854787	0.661554554	0.737316355	0.595298414	1.147491448
Lagothrix_lagotricha	1.220709556	1.220709556	1.068741687	0.780199308	1.068582503	0.608181347	1.25017789
Macaca_fascicularis	1.337539944	1.317858646	1.033072351	0.787285882	0.953930882	0.681118948	1.088401004
Macaca_mulatta	1.333666011	1.32049885	1.063856438	0.784403984	0.990716179	0.645256966	1.076119827
Pan_paniscus	1.556988045	1.118502167	1.133650307	0.792508235	0.970090245	0.668223848	1.000449688
Pan_troglodytes_schweinfurthii	1.592386401	1.134145114	1.093093156	0.787352911	0.955996838	0.646006551	1.053719143
Pan_troglodytes_troglodytes	1.529132906	1.181507597	1.13967276	0.778501294	0.900513435	0.668242959	1.053036999
Pan_troglodytes_verus	1.544366055	1.213946652	1.129248834	0.78165971	0.862119634	0.744252988	0.973296286
Papio_anubis	1.339455856	1.319322665	1.018744994	0.785221939	0.935311514	0.68457168	1.119236664
Pongo_abelii	1.418632307	1.30491024	1.11454793	0.830173801	0.861457656	0.63759267	1.076515265
Pongo_pygmaeus	1.423909506	1.253225572	1.173650877	0.795617413	0.849200092	0.656304008	1.091987875
Presbytis_comata	1.416371194	1.374626633	1.023055073	0.805264717	0.951236927	0.611932065	1.075609273
Symphalangus_syndactylus	1.770193113	1.498458039	0.959147338	0.669475901	0.763669601	0.657874789	1.188903043
Theropithecus_gelada	1.366183273	1.366183273	1.047552672	0.831327978	0.914978774	0.685347595	0.988160979
