Species	L1	L2	L3	L4	L5	L6	L7	L9	L15	L13	L14
Alouatta_palliata	1.569116089	1.343152684	0.931256861	1.2126208	0.719088979	1.20400512	0.704320688	1.155771128	1.10208163	0.697555698	0.801919097
Ateles_paniscus	1.620678875	1.405969091	0.942055417	1.218085079	0.899967544	1.131363312	0.678364964	1.19220107	0.974140312	0.677736726	0.737163852
Cercopithecus_mitis	1.452527589	1.280988333	0.981172999	1.203626491	0.765027135	1.147016156	0.725942453	1.152826877	1.102810735	0.637309522	0.905108328
Chlorocebus_aethiops	1.436702097	1.322855399	0.854686933	1.084025084	0.771321138	1.151581726	0.739255029	1.261164253	1.086741236	0.721288367	0.896216915
Gorilla_beringei	1.35756469	1.407863799	1.084081929	1.026831909	0.67118978	1.178472826	0.741938889	1.299059462	1.072676076	0.816449822	0.718424712
Gorilla_gorilla_gorilla	1.34574751	1.48083586	1.068947504	1.084413046	0.633793359	1.214009379	0.786476538	1.36526596	1.012632088	0.764101535	0.697413551
Gorilla_gorilla_graueri	1.37023598	1.431982309	1.144027209	1.013468896	0.611925448	1.158883841	0.838774085	1.219539378	1.076593041	0.739479166	0.774098197
Homo_sapiens	1.35575361	1.430913525	1.055675094	0.992790895	0.570388371	1.1836913	0.849635673	1.287996371	1.154110373	0.782189689	0.762762345
Hylobates_lar	1.477519804	1.396314331	1.008066012	1.226388543	1.186926604	1.108315157	0.876200937	1.084867919	0.876723383	0.654408267	0.572659455
Lagothrix_lagotricha	1.625783115	1.413112359	1.001532404	1.125285801	0.847666453	1.234437127	0.704628983	1.141805565	0.966168563	0.631426755	0.810469207
Macaca_fascicularis	1.535696881	1.331006404	0.897248089	1.263027064	0.713103262	1.114922659	0.741227993	1.262332351	1.043485085	0.684515918	0.840628148
Macaca_mulatta	1.433801558	1.363450047	0.857702887	1.229295011	0.980383356	1.098429378	0.695696119	1.297933471	0.899091433	0.714981243	0.808476121
Pan_paniscus	1.305530727	1.512769625	1.09119455	0.979991757	0.522427243	1.22397174	0.804220132	1.416933508	1.076192773	0.828207622	0.754291655
Pan_troglodytes_schweinfurthii	1.37438061	1.506273592	1.172674343	0.968827283	0.479814928	1.260811735	0.803600964	1.333246959	1.125174588	0.806686866	0.748178545
Pan_troglodytes_troglodytes	1.371804488	1.50296104	1.12653495	0.959791188	0.559482994	1.233856269	0.803245008	1.376685733	1.074213888	0.787171628	0.725818153
Pan_troglodytes_verus	1.283451319	1.494163565	1.103880735	1.048428839	0.542286362	1.155826032	0.718804845	1.381808472	1.060196195	0.869180035	0.79730672
Papio_anubis	1.49500806	1.311174086	0.773569816	1.236579179	0.696866342	0.988729786	0.816544719	1.235533671	1.182329952	0.770526056	0.90230393
Pongo_abelii	1.5322504	1.442966893	1.167663769	1.052607082	0.609284551	1.093294051	0.707830683	1.28760988	1.29846713	0.702564954	0.695732324
Pongo_pygmaeus	1.499336606	1.451380561	1.150308473	1.126910461	0.583105855	1.100919476	0.781206066	1.311767185	1.197041083	0.695766227	0.676648057
Presbytis_comata	1.368285973	1.304771274	0.924364613	1.233718363	0.800280234	1.156248414	0.738182367	1.185168735	0.907848312	0.763605718	0.888386037
Symphalangus_syndactylus	1.631666016	1.36993318	1.12322776	1.245403383	0.690369666	1.180641613	1.023307759	1.125311069	0.951051593	0.773173375	0.4834288
