	S1	S2	S3	S4	S5	S6	S7
Alouatta_palliata	1.816383783	1.05770377	0.664984966	1.070745778	1.09563744	0.779345441	0.877330553
Ateles_paniscus	1.675789655	1.049047284	0.698291353	1.024017103	1.126035508	0.740776388	0.96676021
Cebus_apella	1.536106537	1.037996969	0.787991574	1.116215215	1.023224774	0.828470274	0.843844999
Cercopithecus_mitis	1.537805993	0.961582497	0.869977574	0.958391126	1.091380782	0.690390558	1.114347587
Chlorocebus_aethiops	1.582053365	0.91361814	0.964083661	1.085291544	1.001198204	0.642551764	1.063499552
Erythrocebus_patas	1.576594171	1.082266791	0.979830894	1.034475882	1.144972121	0.682718438	0.804218853
Gorilla_beringei	2.022534256	1.258990399	0.777570333	1.121978732	1.101766458	0.69924188	0.598166103
Gorilla_gorilla_gorilla	1.950778992	1.188480561	0.774196574	1.112415986	1.088677365	0.740226054	0.642509235
Gorilla_gorilla_graueri	1.934006753	1.138839343	0.740715791	1.123509352	1.041236169	0.771521356	0.686197135
Homo_sapiens	1.940862293	1.092462514	0.979236036	1.017818013	1.247654634	0.65342333	0.606804862
Hylobates_lar	1.910376462	1.013501003	0.767273954	0.880357553	1.071575623	0.744005569	0.983317128
Lagothrix_lagotricha	1.630807687	1.110075447	0.766725162	1.050988108	1.240653879	0.801270593	0.698307068
Macaca_fascicularis	1.743404849	0.9580059	0.976750694	1.109056089	0.950969099	0.62882265	0.947973775
Macaca_mulatta	1.686947243	1.046007129	1.047076779	1.121985977	1.016711	0.554572245	0.886177995
Pan_paniscus	1.892166076	1.249451622	0.765373819	1.14237773	1.165018596	0.722364898	0.586688415
Pan_troglodytes_schweinfurthii	1.861621586	1.180064241	0.76607058	1.220052792	1.116583843	0.70955433	0.62270466
Pan_troglodytes_troglodytes	1.944036833	1.205789333	0.808319691	1.218146098	1.161527147	0.703714899	0.548324854
Pan_troglodytes_verus	1.795370598	1.216757546	0.78878645	1.181816974	1.189146835	0.638634787	0.653285645
Papio_anubis	1.562311801	1.024995351	1.023960649	1.167839002	1.053999389	0.573215894	0.882343639
Pongo_abelii	1.914080994	1.138568431	0.831800282	1.016259587	1.051300504	0.58371367	0.918949026
Pongo_pygmaeus	1.923160684	1.051952138	0.824542244	1.045491959	1.018743186	0.588219028	0.986201131
Presbytis_comata	1.521063233	0.954939091	0.860409567	0.988948344	1.15852774	0.581156482	1.204202978
Symphalangus_syndactylus	2.061301009	0.959939888	0.725060855	1.156790117	1.040977315	0.599180737	0.981356315
Theropithecus_gelada	1.410530869	0.986507305	0.945431417	0.953888684	1.07262358	0.64846905	1.158137316
