Species	T1	T2	T3	T4	T5	T6	T7
Alouatta_palliata	1.202087102	1.450953975	0.979695983	0.735405847	0.71622982	1.141706328	1.001889732
Ateles_paniscus	1.333173337	1.565516659	1.205728356	0.639000519	0.637483602	1.090064785	0.935408182
Australopithecus_sediba	1.3177324	1.129216946	0.783136337	0.826279177	0.695912769	1.349620586	1.105769751
Cercopithecus_mitis	1.389238806	1.459298948	1.034394251	0.669828721	0.79209179	1.079960687	0.841581937
Chlorocebus_aethiops	1.401471116	1.324610009	0.972280291	0.724838754	0.829059285	1.12939725	0.829874543
Erythrocebus_patas	1.259769149	1.373958258	1.028209655	0.758990495	0.891769035	1.015958752	0.843948616
Gorilla_beringei	1.19726081	1.443827226	0.906247125	0.85205506	0.767330944	1.102497978	0.90269788
Gorilla_gorilla_gorilla	1.219356836	1.330525287	0.912543272	0.84311209	0.753455083	1.115158816	0.97481585
Gorilla_gorilla_graueri	1.292066326	1.233057388	0.924699557	0.829492556	0.780671511	1.139877956	0.950375475
Homo_sapiens	1.304933039	1.226860901	0.900147477	0.806367841	0.785626968	1.169806281	0.948466731
Homo_sapiens_neanderthalensis	1.47095886	1.207051171	0.799092682	0.761533226	0.733160492	1.262432507	1.003542879
Hylobates_lar	1.560844318	1.185068926	0.810732499	0.76622008	0.684815889	1.342818016	0.970316089
Lagothrix_lagotricha	1.342026739	1.549917273	1.017694965	0.576740938	0.875259448	1.171967619	0.808658855
Macaca_fascicularis	1.321159378	1.397363412	0.973175507	0.712661165	0.889341418	1.021120327	0.87517213
Macaca_mulatta	1.358743733	1.487971128	1.007203002	0.689929717	0.829422352	1.044000829	0.837113181
Pan_paniscus	1.294635338	1.118891256	0.949149069	0.828014921	0.809472147	1.185170229	0.934313746
Pan_troglodytes_schweinfurthii	1.339980537	1.214234909	0.879455106	0.893474724	0.705144754	1.160610396	0.967174961
Pan_troglodytes_troglodytes	1.230279966	1.249610506	0.893082852	0.881622733	0.783761144	1.15408468	0.93383463
Pan_troglodytes_verus	1.19222403	1.293304581	0.871052374	0.884955222	0.805217052	1.123545981	0.935535749
Papio_anubis	1.316458216	1.421313265	1.006351475	0.604957155	0.912013326	1.140354511	0.852838756
Pongo_abelii	1.738635868	1.019798494	0.789123115	0.778876294	0.733208647	1.488575059	0.863119398
Pongo_pygmaeus	1.672661107	1.008801147	0.789509082	0.823922122	0.730096071	1.466863865	0.871814859
Presbytis_comata	1.371629404	1.443696065	0.978604631	0.706829235	0.786310295	1.145610544	0.824714268
Proconsul_nyanzae	1.252329453	1.561174612	0.891696235	0.66382877	0.723149639	1.262687065	0.946309098
Symphalangus_syndactylus	1.351600522	1.275078815	0.855515876	0.889755501	0.569967464	1.275444691	1.08195252
Theropithecus_gelada	1.353693014	1.464744597	1.071695427	0.61973273	0.796589924	1.185290123	0.819839016
SKX3498	1.537323903	1.27283807	0.932784857	1.060304812	0.884374503	1.357851374	1.039051486
